set,id,name,grade,clan,type,rarity,qtt
BT02,66,Hysteric Shirley,0,Dark Irregulars,Draw Trigger,C,1
BT01,66,Sonic Noa,1,Tachikaze,Normal Unit,C,11
BT01,67,"Ironclad Dragon, Shieldon",0,Tachikaze,Normal Unit,C,9
BT02,67,Blitzritter,0,Dark Irregulars,Critical Trigger,C,1
BT01,68,"Stealth Beast, Chigasumi",2,Nubatama,Normal Unit,C,11
BT02,68,Cursed Doctor,0,Dark Irregulars,Heal Trigger,C,1
BT02,69,Dark Knight of Nightmareland,0,Dark Irregulars,Critical Trigger,C,1
BT01,69,"Stealth Dragon, Dreadmaster",1,Nubatama,Normal Unit,C,14
BT01,70,"Stealth Beast, Hagakure",0,Nubatama,Normal Unit,C,14
BT02,70,Mad Hatter of Nightmareland,0,Dark Irregulars,Draw Trigger,C,1
BT02,71,Cheshire Cat of Nightmareland,0,Dark Irregulars,Heal Trigger,C,1
BT01,71,Blue Dust,2,Dark Irregulars,Normal Unit,C,14
BT01,72,Nightmare Baby,1,Dark Irregulars,Normal Unit,C,8
BT02,72,Elephants Juggler,3,Pale Moon,Normal Unit,C,1
BT02,73,"Fire Breeze, Carrie",2,Pale Moon,Normal Unit,C,1
BT01,73,Rock the Wall,0,Dark Irregulars,Normal Unit,C,14
BT01,74,"Highspeed, Brakki",2,Spike Brothers,Normal Unit,C,11
BT01,75,Wonder Boy,1,Spike Brothers,Normal Unit,C,14
BT02,75,Starting Presenter,1,Pale Moon,Normal Unit,C,1
BT01,76,"Redshoe, Milly",0,Spike Brothers,Normal Unit,C,13
BT02,77,Dynamite Juggler,0,Pale Moon,Critical Trigger,C,1
BT01,77,"Dandy Guy, Romario",1,Granblue,Normal Unit,C,13
BT01,78,Guiding Zombie,0,Granblue,Normal Unit,C,8
BT02,78,Spiral Master,0,Pale Moon,Draw Trigger,C,1
BT01,79,Karma Queen,1,Megacolony,Normal Unit,C,11
BT01,80,Madame Mirage,0,Megacolony,Normal Unit,C,10
