set,id,name,grade,clan,type,rarity
BT02,039,"Turquoise Beast Tamer",2,Pale Moon,Normal Unit,R
BT02,040,"Crimson Beast Tamer",2,Pale Moon,Normal Unit,R
BT02,041,"Knight of Tribulations, Galahad",3,Royal Paladin,Normal Unit,C
BT02,042,"Knight of Quests, Galahad",2,Royal Paladin,Normal Unit,C
BT02,043,"Knight of Harvest, Galahad",1,Royal Paladin,Normal Unit,C
BT02,044,"Drangal",0,Royal Paladin,Normal Unit,C
BT02,045,"Alabaster Owl",0,Royal Paladin,Critical Trigger,C
BT02,046,"Margal",0,Royal Paladin,Draw Trigger,C
BT02,047,"Borgal",0,Royal Paladin,Heal Trigger,C
BT02,048,"Amber Dragon, Eclipse",3,Kagero,Normal Unit,C
BT02,049,"Amber Dragon, Dusk",2,Kagero,Normal Unit,C
BT02,050,"Amber Dragon, Dawn",1,Kagero,Normal Unit,C
BT02,051,"Amber Dragon, Daylight",0,Kagero,Normal Unit,C
BT02,052,"Flame Seed Salamander",0,Kagero,Normal Unit,C
BT02,053,"Blue Ray Dracokid",0,Kagero,Critical Trigger,C
BT02,054,"Dragon Dancer, Rakshasa",0,Kagero,Stand Trigger,C
BT02,055,"Dragon Monk, Genjo",0,Kagero,Heal Trigger,C
BT02,056,"Dragon Undead, Skull Dragon",3,Granblue,Normal Unit,C
BT02,057,"Skeleton Swordsman",2,Granblue,Normal Unit,C
BT02,058,"Evil Shade",1,Granblue,Normal Unit,C
BT02,059,"Rough Seas Banshee",0,Granblue,Critical Trigger,C
BT02,060,"Knight Spirit",0,Granblue,Critical Trigger,C
BT02,061,"Hook-wielding Zombie",0,Granblue,Draw Trigger,C
BT02,062,"Rick the Ghost",0,Granblue,Heal Trigger,C
BT02,063,"Doctor Rouge",0,Granblue,Heal Trigger,C
BT02,064,"Stil Vampire",3,Dark Irregulars,Normal Unit,C
BT02,065,"Dark Soul Conductor",2,Dark Irregulars,Normal Unit,C
BT02,066,"Hysteric Shirley",0,Dark Irregulars,Draw Trigger,C
BT02,067,"Blitzritter",0,Dark Irregulars,Critical Trigger,C
BT02,068,"Cursed Doctor",0,Dark Irregulars,Heal Trigger,C
BT02,069,"Dark Knight of Nightmareland",0,Dark Irregulars,Critical Trigger,C
BT02,070,"Mad Hatter of Nightmareland",0,Dark Irregulars,Draw Trigger,C
BT02,071,"Cheshire Cat of Nightmareland",0,Dark Irregulars,Heal Trigger,C
BT02,072,"Elephants Juggler",3,Pale Moon,Normal Unit,C
BT02,073,"Fire Breeze, Carrie",2,Pale Moon,Normal Unit,C
BT02,074,"Big League Bear",2,Pale Moon,Normal Unit,C
BT02,075,"Starting Presenter",1,Pale Moon,Normal Unit,C
BT02,076,"Skull Juggler",1,Pale Moon,Normal Unit,C
BT02,077,"Dynamite Juggler",0,Pale Moon,Critical Trigger,C
BT02,078,"Spiral Master",0,Pale Moon,Draw Trigger,C
BT02,079,"Rainbow Magician",0,Pale Moon,Draw Trigger,C
BT02,080,"Candy Clown",0,Pale Moon,Heal Trigger,C
